inter_arrival_time,processing_time
0.062585,0.0915
0.0,0.0814
0.108597,0.2266
0.24829,0.6695
0.093897,0.0694
0.015526,0.0295
0.031005,0.006
0.062574,0.4246
0.046517,0.0669
0.09316,0.2457
0.031049,0.0686
0.108492,0.1943
0.062123,0.2971
0.015509,0.516
0.030647,0.4908
0.01552,0.2905
0.093541,0.52
0.0155,0.1741
0.015518,0.3888
0.015501,0.4167
0.015511,1.3041
0.093585,0.6131
0.031017,0.2319
0.186072,0.3751
0.031042,0.0242
0.0,1.1539
0.046534,0.6843
0.015512,0.0688
0.157148,0.9574
0.015504,0.326
0.124748,0.8689
0.124281,1.0576
0.031022,0.2575
0.0155,0.1174
0.0,1.3993
0.031039,0.5131
0.062064,1.7859
0.015505,0.7483
0.015506,0.8019
0.031054,0.0011
0.031521,1.3512
0.187907,0.0676
0.155386,0.0055
0.093065,0.9952
0.015505,0.0678
0.062012,1.5454
0.015501,1.1332
0.077394,0.0889
0.046535,0.127
0.031006,0.1387
0.062066,0.0883
0.062023,0.1679
0.0,0.2267
0.092751,0.7446
0.030854,0.6641
0.0,0.4156
0.030504,0.0921
0.061653,0.1494
0.092756,0.4482
0.046982,0.0742
0.046886,1.1397
0.217209,0.0573
0.10896,0.5431
0.01546,0.4706
0.031527,0.0602
0.292323,1.2611
0.093166,0.4149
0.0,0.5083
0.030691,0.3298
0.077565,3.0936
0.0917,0.8598
0.154516,1.8751
0.015541,0.4473
0.031078,1.4233
0.07806,0.4081
0.015385,0.0422
0.015507,0.2534
0.061817,0.7574
0.0467,0.1407
0.046588,1.6491
0.030757,1.1869
0.015455,0.3275
0.015597,0.8103
0.07806,0.8517
0.061948,0.1429
0.015705,0.2792
0.0,0.3758
0.12321,1.0096
0.139403,0.1066
0.076644,0.0734
0.03098,0.5212
0.139753,0.3458
0.030911,1.3342
0.015132,0.1118
0.061794,0.4705
0.077183,0.0588
0.04709,1.1093
0.0,0.112
0.015349,0.5043
0.078039,0.7287
0.031582,0.7454
0.031537,0.3237
0.016014,0.6857
0.140498,0.4518
0.078486,0.6837
0.015543,0.6288
0.016014,0.6825
0.078706,1.5796
0.000498,0.543
0.046119,0.1973
0.046084,0.5067
0.030887,0.7094
0.015278,0.9774
0.139321,0.0944
0.031052,0.1454
0.247808,0.0699
0.0,0.3823
0.046584,0.1132
0.061446,0.0596
0.108259,0.0606
0.046566,0.6537
0.031544,0.1395
0.06247,0.389
0.046487,0.1444
0.01544,0.1526
0.01554,0.3371
0.108459,0.1315
0.0,1.286
0.093137,0.0139
0.108713,0.3014
